,mod_ID,hist_id,PLOT,INVYR,hist_town,hist_location,mod_location,closest,mod_distance,oaks.wt,whiteOak,swampWhiteOak,redOak,chestnutOak,blackOak,hist_latitude,LAT,closest_climate_position,avg_tair_1811,avg_tair_2009,avg_qair_1811,avg_qair_2009,avg_psurf_1811,avg_psurf_2009,avg_precipf_1811,avg_precipf_2009,total_FIA_oak
647,647,528,248,2010,,"(46.604, -68.621)","(47.18576, -68.75271)","(46.604, -68.621)",65.44773174636856,0.0,0.0,0.0,0.0,0.0,0.0,46.604,47.18576,"(47.25, -68.75)",275.14254262218736,276.1392051069704,0.004259437303160816,0.0045711848549129675,98015.57071917808,98031.45523865582,2.9467469064936104e-05,3.5321522244984857e-05,0.0
648,648,528,248,2010,,"(46.604, -68.621)","(47.18576, -68.75271)","(46.604, -68.621)",65.44773174636856,0.0,0.0,0.0,0.0,0.0,0.0,46.604,47.18576,"(47.25, -68.75)",275.14254262218736,276.1392051069704,0.004259437303160816,0.0045711848549129675,98015.57071917808,98031.45523865582,2.9467469064936104e-05,3.5321522244984857e-05,0.0
649,649,570,1679,2010,,"(45.721, -68.629)","(45.61615, -68.74602)","(45.721, -68.629)",14.797159676198532,0.0,0.0,0.0,0.0,0.0,0.0,45.721,45.61615,"(45.75, -68.75)",275.60160788967187,276.88446877884536,0.004509344495982777,0.004769138194906016,99062.56602097602,99055.89602418664,2.7919820539996275e-05,3.7727002199560846e-05,0.0
650,650,570,1679,2010,,"(45.721, -68.629)","(45.61615, -68.74602)","(45.721, -68.629)",14.797159676198532,0.0,0.0,0.0,0.0,0.0,0.0,45.721,45.61615,"(45.75, -68.75)",275.60160788967187,276.88446877884536,0.004509344495982777,0.004769138194906016,99062.56602097602,99055.89602418664,2.7919820539996275e-05,3.7727002199560846e-05,0.0
651,651,570,1679,2010,,"(45.721, -68.629)","(45.61615, -68.74602)","(45.721, -68.629)",14.797159676198532,0.0,0.0,0.0,0.0,0.0,0.0,45.721,45.61615,"(45.75, -68.75)",275.60160788967187,276.88446877884536,0.004509344495982777,0.004769138194906016,99062.56602097602,99055.89602418664,2.7919820539996275e-05,3.7727002199560846e-05,0.0
652,652,570,1200,2010,,"(45.721, -68.629)","(45.66812, -68.73888)","(45.721, -68.629)",10.382161281159586,0.0,0.0,0.0,0.0,0.0,0.0,45.721,45.66812,"(45.75, -68.75)",275.60160788967187,276.88446877884536,0.004509344495982777,0.004769138194906016,99062.56602097602,99055.89602418664,2.7919820539996275e-05,3.7727002199560846e-05,0.0
653,653,1011,982,2010,,"(45.28, -68.86)","(45.39849, -68.73404)","(45.28, -68.86)",16.458686753126653,0.038462,0.0,0.0,0.0,0.0,0.0,45.28,45.39849,"(45.25, -68.75)",276.3648104837496,277.7319772380672,0.004712195423741022,0.004995206998177109,99210.88636558219,99201.65698844178,2.819197814007103e-05,3.913591186295882e-05,0.0
654,654,591,1078,2010,,"(45.17, -68.68)","(45.10166, -68.72112)","(45.17, -68.68)",8.254997398256686,0.043307,0.0,0.0,0.0,0.0,0.0,45.17,45.10166,"(45.25, -68.75)",276.3648104837496,277.7319772380672,0.004712195423741022,0.004995206998177109,99210.88636558219,99201.65698844178,2.819197814007103e-05,3.913591186295882e-05,0.0
655,655,591,1599,2010,,"(45.17, -68.68)","(45.16997, -68.72078)","(45.17, -68.68)",3.205854075778197,0.043307,0.0,0.0,0.0,0.0,0.0,45.17,45.16997,"(45.25, -68.75)",276.3648104837496,277.7319772380672,0.004712195423741022,0.004995206998177109,99210.88636558219,99201.65698844178,2.819197814007103e-05,3.913591186295882e-05,0.0
656,656,5,1481,2010,OldTownCty,"(44.9, -68.71)","(44.93182, -68.71935)","(44.9, -68.71)",3.612411078673378,0.043165,0.0,0.0,0.0,0.0,0.0,44.9,44.93182,"(44.75, -68.75)",277.0437466556079,278.57282861160905,0.004848391961183488,0.005202438120693494,99353.41361836472,99334.54549978596,2.7454380357384052e-05,4.0104838145033935e-05,0.0
657,657,570,745,2010,,"(45.721, -68.629)","(45.84448, -68.71334)","(45.721, -68.629)",15.211106604653883,0.0,0.0,0.0,0.0,0.0,0.0,45.721,45.84448,"(45.75, -68.75)",275.60160788967187,276.88446877884536,0.004509344495982777,0.004769138194906016,99062.56602097602,99055.89602418664,2.7919820539996275e-05,3.7727002199560846e-05,0.0
658,658,528,557,2010,,"(46.604, -68.621)","(46.78041, -68.71333)","(46.604, -68.621)",20.84354981112046,0.0,0.0,0.0,0.0,0.0,0.0,46.604,46.78041,"(46.75, -68.75)",275.19748348079315,276.2370721999913,0.004351713814356393,0.004617931017188035,98130.11025791951,98140.52351241438,2.6928279341100758e-05,3.4564759607001644e-05,0.0
